anon_record_id,anon_instance_id,routing_group,training_phase,source_subset
REC-0022476E57878C5A,TRN-71FD2FB833427C73,A,stratified_balanced_rl,initial_rl
REC-00367EB32B89E9EC,TRN-D117BF53733089F6,B,stratified_balanced_rl,initial_rl
REC-005701345AB4DE38,TRN-8B7EB1B7E8C80839,A,stratified_balanced_rl,initial_rl
REC-006DFF678E898F4D,TRN-6FAA766CEFDFA02C,A,stratified_balanced_rl,initial_rl
REC-0099BF289171F631,TRN-E61D965DE432E9FA,C,stratified_balanced_rl,initial_rl
REC-00E1706A63B1132A,TRN-EFC75F1B54D27CAC,B,stratified_balanced_rl,initial_rl
REC-017BA86A3F594EF2,TRN-FCAE87006B64CBF5,B,stratified_balanced_rl,initial_rl
REC-01858ACA93B91F1C,TRN-A475FDADDE8F1D24,B,stratified_balanced_rl,initial_rl
REC-01AAB067289CB116,TRN-42DC71B3FF4E34A2,C,stratified_balanced_rl,initial_rl
REC-021CF09858290EF9,TRN-25E03A6A8D30C3F0,B,stratified_balanced_rl,initial_rl
REC-0252767E4B707DE2,TRN-42B4B187E5BE19BA,B,stratified_balanced_rl,initial_rl
REC-025B18B98539E67C,TRN-55947DBA66852C1E,A,stratified_balanced_rl,initial_rl
REC-025EA40CA140BBD7,TRN-47DB03903303FB54,C,stratified_balanced_rl,initial_rl
REC-028C2E853337532C,TRN-EEA55BC5790C36F2,A,stratified_balanced_rl,initial_rl
REC-02A8BFFB6D6A327A,TRN-E0EE27C68DE1D9DC,A,stratified_balanced_rl,initial_rl
REC-02C40E79FADFCCD6,TRN-DB3306517B22FC70,A,stratified_balanced_rl,initial_rl
REC-02C83462C0BCCA26,TRN-D91FAD1F2722DEC9,A,stratified_balanced_rl,initial_rl
REC-02EEFA6054814898,TRN-1B17154315442681,C,stratified_balanced_rl,initial_rl
REC-032DFF0B23B10D7A,TRN-1D7ABD5AFC8BC8A3,A,stratified_balanced_rl,initial_rl
REC-035470FD5387431E,TRN-696530281FB442D8,C,stratified_balanced_rl,initial_rl
REC-0381B97EED35C311,TRN-671A1469C5D1B2D5,B,stratified_balanced_rl,initial_rl
REC-03E4D2C5F007B55D,TRN-A04FA3DD230BA726,A,stratified_balanced_rl,initial_rl
REC-040D6E8D695244BD,TRN-D599994BA7BF704B,B,stratified_balanced_rl,initial_rl
REC-041175D570BB26E5,TRN-8CEAF8FA81D44417,A,stratified_balanced_rl,initial_rl
REC-0431059C270E2EB3,TRN-A98C8574DF76E7F4,B,stratified_balanced_rl,initial_rl
REC-044136F4976F25E4,TRN-029E94667FBE2EB2,C,stratified_balanced_rl,initial_rl
REC-04484D5872F696F7,TRN-08B5D8CAB6860AAD,C,stratified_balanced_rl,initial_rl
REC-045E370A00E6C816,TRN-D210ADC5970EE350,C,stratified_balanced_rl,initial_rl
REC-04C132C3E6BE4C23,TRN-86AF9CAE4966B20D,B,stratified_balanced_rl,initial_rl
REC-056059F13F08E9A0,TRN-EE38D73BE6B3C35C,A,stratified_balanced_rl,initial_rl
REC-0560AB49E3651995,TRN-E98A69B77651AE72,B,stratified_balanced_rl,initial_rl
REC-0564BECCBAA1B7C5,TRN-C8EC506DA0D6151C,C,stratified_balanced_rl,initial_rl
REC-05670057CB19C0A6,TRN-D722BCEE8CF5C039,B,stratified_balanced_rl,initial_rl
REC-05AFFD2621899795,TRN-EF7FA47732E4AFBD,B,stratified_balanced_rl,initial_rl
REC-05BE943F7B081323,TRN-92CFFF442435FD04,A,stratified_balanced_rl,initial_rl
REC-06449D77496FB1FF,TRN-2A03E1CD11615F2D,B,stratified_balanced_rl,initial_rl
REC-06943C26521199C7,TRN-F3F2C88E9FA6FCA0,C,stratified_balanced_rl,initial_rl
REC-069886F546779432,TRN-9917F2620F504CDF,A,stratified_balanced_rl,initial_rl
REC-06ADA77EE5FB5275,TRN-F7D8AFC7387227DE,B,stratified_balanced_rl,initial_rl
REC-0706A726A7D82479,TRN-A80522A791FB6A36,C,stratified_balanced_rl,initial_rl
REC-07082358E4374D28,TRN-C173548910A21854,C,stratified_balanced_rl,initial_rl
REC-078F3A8F3E7C216D,TRN-7FFAD27F3C141639,B,stratified_balanced_rl,initial_rl
REC-078F919A3B68D5E6,TRN-AAD319A0AB8F8395,B,stratified_balanced_rl,initial_rl
REC-07AC73A0DD7A37C6,TRN-D9F419F248D8B109,C,stratified_balanced_rl,initial_rl
REC-0871F12765FFA490,TRN-7072933C745A224B,B,stratified_balanced_rl,initial_rl
REC-0873937598B5E863,TRN-512FEF63E5C439E4,A,stratified_balanced_rl,initial_rl
REC-08DBAD2B1F6C3F50,TRN-6363F0B34BEDB787,A,stratified_balanced_rl,initial_rl
REC-08EC0F238BB645CC,TRN-A8AF190B8987CC4D,A,stratified_balanced_rl,initial_rl
REC-08F793A5FEBD2FF7,TRN-DBB34031823E2AE7,B,stratified_balanced_rl,initial_rl
REC-08F9AB0CC8D843C4,TRN-22C006EDB9EFA248,A,stratified_balanced_rl,initial_rl
REC-090A590868CD7540,TRN-719987B760A259E1,C,stratified_balanced_rl,initial_rl
REC-094F1ECB8A6CDFEE,TRN-BAF36504DA7E5133,C,stratified_balanced_rl,initial_rl
REC-09752896497D2D64,TRN-ADDC2AEC706A6639,B,stratified_balanced_rl,initial_rl
REC-0A652EB6CCA7E9B1,TRN-EF96CE7CA8F17059,B,stratified_balanced_rl,initial_rl
REC-0A7FF06485F68A0A,TRN-3BBA5FA62E9324DB,A,stratified_balanced_rl,initial_rl
REC-0AD26F8BA9BCF132,TRN-34A9BFECAC96D253,B,stratified_balanced_rl,initial_rl
REC-0B908852D6EB35C7,TRN-9080C2079714CCE5,C,stratified_balanced_rl,initial_rl
REC-0B9AE699F4F2046A,TRN-7F6488EED1487FB1,B,stratified_balanced_rl,initial_rl
REC-0B9FE65B544D01B7,TRN-A8E9EFDBE05B4F45,B,stratified_balanced_rl,initial_rl
REC-0BC58FBDE7A9D9B9,TRN-28B7EAC536BBF8E2,C,stratified_balanced_rl,initial_rl
REC-0BEC8F9501E4B715,TRN-8F00C9944A9AA93C,C,stratified_balanced_rl,initial_rl
REC-0BF3C5569BB89AA6,TRN-B22524FE3BD68833,C,stratified_balanced_rl,initial_rl
REC-0C5993B129F1F241,TRN-65E567959B89126B,C,stratified_balanced_rl,initial_rl
REC-0CBEDD7B19E7BE2C,TRN-FAE143EA2D169985,A,stratified_balanced_rl,initial_rl
REC-0D0669C3CC70768B,TRN-E26FE7013E5DEDD0,A,stratified_balanced_rl,initial_rl
REC-0D6087FBAD41CC37,TRN-6FAC8EBDE808932D,C,stratified_balanced_rl,initial_rl
REC-0DAA5714575E6132,TRN-65594F711086EC82,B,stratified_balanced_rl,initial_rl
REC-0DAD361880DA5792,TRN-7A57A267BB932EB9,C,stratified_balanced_rl,initial_rl
REC-0E1CAE64A729556F,TRN-38B7A8ED83D2743F,C,stratified_balanced_rl,initial_rl
REC-0E1EC779B1C7C65C,TRN-D78F673429DFCBF0,B,stratified_balanced_rl,initial_rl
REC-0E21A0884961CEE4,TRN-931E0A1B7F1570BE,B,stratified_balanced_rl,initial_rl
REC-0E2A5000C3969C2C,TRN-9C60ACBFB7A960F5,B,stratified_balanced_rl,initial_rl
REC-0E3AB721BDA97AB8,TRN-03FA34A9FF48943E,A,stratified_balanced_rl,initial_rl
REC-0E826CB4D4A62307,TRN-E1FBFAED245D2AEC,C,stratified_balanced_rl,initial_rl
REC-0EA712E2756718D5,TRN-A3B4E0521D49EEEF,A,stratified_balanced_rl,initial_rl
REC-0EAC09C7898F9E14,TRN-DA37333AC968DF38,A,stratified_balanced_rl,initial_rl
REC-0EE5D1459E5E0C96,TRN-99903EA1117EA542,B,stratified_balanced_rl,initial_rl
REC-0F043C5B1D21E532,TRN-E77437683DA3B1BF,C,stratified_balanced_rl,initial_rl
REC-0F3422A310158CB8,TRN-C7BCB0DC25530517,B,stratified_balanced_rl,initial_rl
REC-0FBF83B70F47F944,TRN-C28B4721806C5FA7,C,stratified_balanced_rl,initial_rl
REC-0FF16F625F72B078,TRN-75025A9B666A2626,B,stratified_balanced_rl,initial_rl
REC-0FFBDAC3C8D9F3F4,TRN-1EF221714CF88754,C,stratified_balanced_rl,initial_rl
REC-1019664E02D16C16,TRN-7AF709F8A0FEBA15,A,stratified_balanced_rl,initial_rl
REC-1019A7D5FD78FF72,TRN-8302631B7EAE4198,B,stratified_balanced_rl,initial_rl
REC-102D7C7506E31407,TRN-8AF2642265C6EEFC,A,stratified_balanced_rl,initial_rl
REC-1040F13033B94FAC,TRN-ACAC63E0AA8E3C76,B,stratified_balanced_rl,initial_rl
REC-1060122D9EC61EB7,TRN-DDB3030BB206CF03,C,stratified_balanced_rl,initial_rl
REC-1072BF8825B8E971,TRN-33B66E9F49555DA4,C,stratified_balanced_rl,initial_rl
REC-1082E2582C7BB13F,TRN-9D5F3C7FA6F201C9,C,stratified_balanced_rl,initial_rl
REC-10AAC275442A89E6,TRN-4D234FEB987F2413,B,stratified_balanced_rl,initial_rl
REC-10C683C00463ACE8,TRN-F7439C101B4C6EB4,C,stratified_balanced_rl,initial_rl
REC-10CF1957FDD0FF75,TRN-C576E836C9307ECF,C,stratified_balanced_rl,initial_rl
REC-10F944E7A5C15AE2,TRN-A3D4C253CFA61FD4,B,stratified_balanced_rl,initial_rl
REC-1116B99D9EE1F3E0,TRN-02497F5F70CDEB8E,B,stratified_balanced_rl,initial_rl
REC-11194C0E7940919A,TRN-11E589CCB05725CB,A,stratified_balanced_rl,initial_rl
REC-113761EADD3C41C7,TRN-0B9062E4BE2A288A,A,stratified_balanced_rl,initial_rl
REC-113867CF35547188,TRN-241E1D33E2BCEB89,C,stratified_balanced_rl,initial_rl
REC-1143E66D1DDD67DD,TRN-E660095F800BDECA,C,stratified_balanced_rl,initial_rl
REC-119C25929B771294,TRN-663A3ADA75CB898E,B,stratified_balanced_rl,initial_rl
REC-120DA70BE237CD3D,TRN-618B5065FBE91EDA,A,stratified_balanced_rl,initial_rl
REC-1210C392DA252C84,TRN-E3AE07090DE999F8,B,stratified_balanced_rl,initial_rl
REC-122BC04EEE42EE93,TRN-51506C2C2C621B33,A,stratified_balanced_rl,initial_rl
REC-12399052BEAFBBF2,TRN-7D898D50F38A551A,B,stratified_balanced_rl,initial_rl
REC-12890D9C7760D28D,TRN-0B0B720D89F34201,B,stratified_balanced_rl,initial_rl
REC-129F1FC804175214,TRN-F7617521C0546C01,C,stratified_balanced_rl,initial_rl
REC-12D54B89A3CC0CF3,TRN-CDDD5BE430697193,A,stratified_balanced_rl,initial_rl
REC-12E01D588D1D110C,TRN-FE25E2D8E48B7125,A,stratified_balanced_rl,initial_rl
REC-1358C5993AE67FBE,TRN-A9EEB82F185F42F6,C,stratified_balanced_rl,initial_rl
REC-136E0D7B6FF64E34,TRN-DEE431459A7CF7FE,A,stratified_balanced_rl,initial_rl
REC-1390C53610AFB94B,TRN-F3FAE49C8D46F1B4,B,stratified_balanced_rl,initial_rl
REC-13A7EC02FB2588D3,TRN-43860F4317A50399,A,stratified_balanced_rl,initial_rl
REC-13BB0E6B44B89DEA,TRN-594441E797D69594,B,stratified_balanced_rl,initial_rl
REC-13C4050A2243A038,TRN-0A313803711E2C92,B,stratified_balanced_rl,initial_rl
REC-13D52BEBA5E7EACE,TRN-4652FF5D616F28E2,C,stratified_balanced_rl,initial_rl
REC-13EC63DD385DABCA,TRN-7C257B331293E00C,C,stratified_balanced_rl,initial_rl
REC-13F991CCDE8D7575,TRN-9C6C760E9A8FC9D9,B,stratified_balanced_rl,initial_rl
REC-155670BA1D13AA81,TRN-0028BDFFB81852A4,C,stratified_balanced_rl,initial_rl
REC-156A7B38293F2D45,TRN-E21FCA9BE36D77C3,B,stratified_balanced_rl,initial_rl
REC-1574AE6872DBC735,TRN-20E8FF0E5B65D890,A,stratified_balanced_rl,initial_rl
REC-157BAC59850749C2,TRN-BFF373573C26E05E,B,stratified_balanced_rl,initial_rl
REC-15A013D957198086,TRN-AA1AB52D30626F71,B,stratified_balanced_rl,initial_rl
REC-15E0563562AE3417,TRN-E75DC2DEC8F531F6,B,stratified_balanced_rl,initial_rl
REC-16415D1AE7873B21,TRN-5559CDE0028BC23C,B,stratified_balanced_rl,initial_rl
REC-16E81CC9064AE181,TRN-8DF0CBD5C44DF06B,A,stratified_balanced_rl,initial_rl
REC-170A31BF81A30DEA,TRN-61EA73522A12B00F,B,stratified_balanced_rl,initial_rl
REC-176489F4FFD6DCC3,TRN-16314D2BBFBE8CEC,C,stratified_balanced_rl,initial_rl
REC-1781FC44115D9312,TRN-3F883D1FE2AA1823,A,stratified_balanced_rl,initial_rl
REC-1784F4E78DE39C63,TRN-F7BFA312FA65E0E5,C,stratified_balanced_rl,initial_rl
REC-17A60AFBC146D409,TRN-BAB421F3CAB0C04D,A,stratified_balanced_rl,initial_rl
REC-17C88F082B967B4F,TRN-29CFC25137AFE473,B,stratified_balanced_rl,initial_rl
REC-17DF31868C0169D2,TRN-CCBC2C4165986071,B,stratified_balanced_rl,initial_rl
REC-17FD264C0AB3B24F,TRN-5C68EDDC6E0DA5C7,B,stratified_balanced_rl,initial_rl
REC-1816A64984AFE3E5,TRN-A0A553D9CBF9E7F5,B,stratified_balanced_rl,initial_rl
REC-182AFF4651DC1D15,TRN-216651349F274002,C,stratified_balanced_rl,initial_rl
REC-182DC3C70E9DEA3D,TRN-67414FA2399DD582,B,stratified_balanced_rl,initial_rl
REC-184BAB4328260435,TRN-4EE0323DD9383A91,C,stratified_balanced_rl,initial_rl
REC-1889B612803B212C,TRN-621E34941E2FF39A,B,stratified_balanced_rl,initial_rl
REC-18A10BCD30571366,TRN-AD5C89980D17A174,C,stratified_balanced_rl,initial_rl
REC-18D127DB3D55BA2A,TRN-BB7C578DBA792659,C,stratified_balanced_rl,initial_rl
REC-191F8DFBB19F7C45,TRN-05094B0D1C1F79E7,B,stratified_balanced_rl,initial_rl
REC-1935BEF1D16CAE09,TRN-509E2F10DCC5A61B,A,stratified_balanced_rl,initial_rl
REC-1936A1BDD6F2C48B,TRN-B16C100071CCF68F,B,stratified_balanced_rl,initial_rl
REC-194FEC5505E460E2,TRN-B985C4162999B555,C,stratified_balanced_rl,initial_rl
REC-196580B92D11F076,TRN-AB3B3E4C2E9FB425,B,stratified_balanced_rl,initial_rl
REC-19A33077BFF6FEAC,TRN-2F14F31693F52D97,A,stratified_balanced_rl,initial_rl
REC-19DC1E725048FB9A,TRN-C3E541022E703BB6,B,stratified_balanced_rl,initial_rl
REC-1A1C9A1889033507,TRN-414C03CB9F8520D1,C,stratified_balanced_rl,initial_rl
REC-1A4D7A530A07F5BD,TRN-E7A7EBF2D8F14850,C,stratified_balanced_rl,initial_rl
REC-1A7F7CEB77093942,TRN-D90603C30136051C,A,stratified_balanced_rl,initial_rl
REC-1ABA8AC9FAEE5418,TRN-0EDA5E9E810A70A4,B,stratified_balanced_rl,initial_rl
REC-1AD0B2C312F85F89,TRN-2BFB321BCA845E01,C,stratified_balanced_rl,initial_rl
REC-1AEC22EDD6A4CDC7,TRN-FA18F7E067038225,A,stratified_balanced_rl,initial_rl
REC-1AF64F2CDA1B00F6,TRN-983F3EB2A47C13FE,B,stratified_balanced_rl,initial_rl
REC-1B0EF9AAD87CB298,TRN-734B6DD7630CC447,B,stratified_balanced_rl,initial_rl
REC-1B7F4D0380864E52,TRN-24D3B9BE4F1C8160,C,stratified_balanced_rl,initial_rl
REC-1B8B4641B7F73630,TRN-63E8E0866B1752FA,B,stratified_balanced_rl,initial_rl
REC-1BEE8EF8B01B9F69,TRN-28345C76E81DD9CA,C,stratified_balanced_rl,initial_rl
REC-1BF86C928E579309,TRN-A908791C9A8F81B0,A,stratified_balanced_rl,initial_rl
REC-1C1A4E4E29F88D1E,TRN-2A6954C03396A53B,A,stratified_balanced_rl,initial_rl
REC-1C2F68B309B957BF,TRN-3975EDCD503E1237,C,stratified_balanced_rl,initial_rl
REC-1C3540D479445AC6,TRN-1EBE198514B0C329,C,stratified_balanced_rl,initial_rl
REC-1C3893BCC790B3E6,TRN-49C69412D34D51F1,C,stratified_balanced_rl,initial_rl
REC-1C4627362441D489,TRN-111E03803BECEF8E,C,stratified_balanced_rl,initial_rl
REC-1C69188F8C718EFD,TRN-68EA7A801C26D8B3,C,stratified_balanced_rl,initial_rl
REC-1C69621EE64FA99E,TRN-9F9510D3A4EEA727,B,stratified_balanced_rl,initial_rl
REC-1CC3068D19C62035,TRN-7809AEEBCF1E0AA3,C,stratified_balanced_rl,initial_rl
REC-1D00E650DCA7046F,TRN-EFB731837AE10FDE,A,stratified_balanced_rl,initial_rl
REC-1D0CBFB3D35D1766,TRN-0A98C3CFE7BEF32B,B,stratified_balanced_rl,initial_rl
