anon_record_id,anon_instance_id,category,training_phase,record_occurrence
REC-000DCAA90B37430F,TRN-ACAEF9146825296B,C,initial_expert_rl,1
REC-001A0F1410CF3EF4,TRN-60E746B3EE44B65F,C,initial_expert_rl,1
REC-0022476E57878C5A,TRN-71FD2FB833427C73,A,initial_expert_rl,1
REC-0030A4CE1AD1F9E3,TRN-E7A656D65427FCFF,C,initial_expert_rl,1
REC-00367EB32B89E9EC,TRN-D117BF53733089F6,B,initial_expert_rl,1
REC-004010E38D0B29E1,TRN-F9F715F67A68E532,C,initial_expert_rl,1
REC-005701345AB4DE38,TRN-8B7EB1B7E8C80839,A,initial_expert_rl,1
REC-0059BFDFE78F83BA,TRN-3D12529DA7F5935A,C,initial_expert_rl,1
REC-006DFF678E898F4D,TRN-6FAA766CEFDFA02C,A,initial_expert_rl,1
REC-007A7A57005BD494,TRN-FFA8D747DD6AC03A,C,initial_expert_rl,1
REC-00830D12EBA9C213,TRN-3D3551211D5C6B59,C,initial_expert_rl,1
REC-0099BF289171F631,TRN-E61D965DE432E9FA,C,initial_expert_rl,1
REC-00DF6290E30D8FDB,TRN-27D125019698B4AA,C,initial_expert_rl,1
REC-00E1706A63B1132A,TRN-EFC75F1B54D27CAC,B,initial_expert_rl,1
REC-01332E8FF2DC4F43,TRN-C0B72496EAA6F928,C,initial_expert_rl,1
REC-014ABD5F6534D8D5,TRN-9D73B73FC5E38D7E,C,initial_expert_rl,1
REC-0163130DD07F44F7,TRN-2E62C10D14BFA947,C,initial_expert_rl,1
REC-017BA86A3F594EF2,TRN-FCAE87006B64CBF5,B,initial_expert_rl,1
REC-01858ACA93B91F1C,TRN-A475FDADDE8F1D24,B,initial_expert_rl,1
REC-01AAB067289CB116,TRN-42DC71B3FF4E34A2,C,initial_expert_rl,1
REC-01AC5CAF14149363,TRN-578E43369DCFEC8E,C,initial_expert_rl,1
REC-01B88AEE4850729F,TRN-7F3205801ADC4147,C,initial_expert_rl,1
REC-01DDBF0E54728350,TRN-1DD6D6941AFEA89F,C,initial_expert_rl,1
REC-020D711C47221EBB,TRN-952FE7BBBABF9BF1,C,initial_expert_rl,1
REC-021CF09858290EF9,TRN-25E03A6A8D30C3F0,B,initial_expert_rl,1
REC-022CF828D3249EA1,TRN-20AD8C3F40C6D4B5,C,initial_expert_rl,1
REC-024964B977169B77,TRN-41118EFF99D4B189,C,initial_expert_rl,1
REC-0252767E4B707DE2,TRN-42B4B187E5BE19BA,B,initial_expert_rl,1
REC-025B18B98539E67C,TRN-55947DBA66852C1E,A,initial_expert_rl,1
REC-025EA40CA140BBD7,TRN-47DB03903303FB54,C,initial_expert_rl,1
REC-027ED0F847AAC32A,TRN-A10B380BFDBB09CF,C,initial_expert_rl,1
REC-028C2E853337532C,TRN-EEA55BC5790C36F2,A,initial_expert_rl,1
REC-0291D5C5E141E5AA,TRN-EDD70B0F27246A86,C,initial_expert_rl,1
REC-02A8BFFB6D6A327A,TRN-E0EE27C68DE1D9DC,A,initial_expert_rl,1
REC-02C40E79FADFCCD6,TRN-DB3306517B22FC70,A,initial_expert_rl,1
REC-02C83462C0BCCA26,TRN-D91FAD1F2722DEC9,A,initial_expert_rl,1
REC-02EEFA6054814898,TRN-1B17154315442681,C,initial_expert_rl,1
REC-0318CF1A3985A6EA,TRN-F07F92F2ADACECE2,C,initial_expert_rl,1
REC-032DFF0B23B10D7A,TRN-1D7ABD5AFC8BC8A3,A,initial_expert_rl,1
REC-0346C8AF79811D09,TRN-2AF5747BDB487921,C,initial_expert_rl,1
REC-035470FD5387431E,TRN-696530281FB442D8,C,initial_expert_rl,1
REC-036EAE3B2AC1619F,TRN-6042057F25783928,C,initial_expert_rl,1
REC-037E2896E633C572,TRN-FD3730CE8163B290,C,initial_expert_rl,1
REC-0381B97EED35C311,TRN-671A1469C5D1B2D5,B,initial_expert_rl,1
REC-03918070F53E5848,TRN-BEBCE01331D0BABD,C,initial_expert_rl,1
REC-03A1B002B0DC6E2C,TRN-D04515FF3F1F38C1,C,initial_expert_rl,1
REC-03E4A2A9EE86C901,TRN-F392D7074CADD8BA,C,initial_expert_rl,1
REC-03E4D2C5F007B55D,TRN-A04FA3DD230BA726,A,initial_expert_rl,1
REC-040D6E8D695244BD,TRN-D599994BA7BF704B,B,initial_expert_rl,1
REC-041175D570BB26E5,TRN-8CEAF8FA81D44417,A,initial_expert_rl,1
REC-0431059C270E2EB3,TRN-A98C8574DF76E7F4,B,initial_expert_rl,1
REC-044136F4976F25E4,TRN-029E94667FBE2EB2,C,initial_expert_rl,1
REC-044185F7C5436C14,TRN-2A828B33494B51FF,C,initial_expert_rl,1
REC-04484D5872F696F7,TRN-08B5D8CAB6860AAD,C,initial_expert_rl,1
REC-045E370A00E6C816,TRN-D210ADC5970EE350,C,initial_expert_rl,1
REC-04882E6F7F2C446E,TRN-EE2E0B9F711C0F9C,C,initial_expert_rl,1
REC-04AAED489B95F7B9,TRN-05DCE6099C8158CD,C,initial_expert_rl,1
REC-04B1856C00CB1BE8,TRN-7B75432D370F5459,C,initial_expert_rl,1
REC-04BB175E33EB3A3E,TRN-B9A92DA46CF8ABDF,C,initial_expert_rl,1
REC-04BDB023001398B5,TRN-CD753B18A906E545,C,initial_expert_rl,1
REC-04C132C3E6BE4C23,TRN-86AF9CAE4966B20D,B,initial_expert_rl,1
REC-050870C2099F1DA6,TRN-50C4EE3DFACFDBCD,C,initial_expert_rl,1
REC-0529B47D8C679253,TRN-F6C08C6A4A48876A,A,initial_expert_rl,1
REC-053D2F550CAD841E,TRN-7BC0BB3990F5B60F,C,initial_expert_rl,1
REC-0549BFF4305FF17C,TRN-C2978C01494D94E9,C,initial_expert_rl,1
REC-056059F13F08E9A0,TRN-EE38D73BE6B3C35C,A,initial_expert_rl,1
REC-0560AB49E3651995,TRN-E98A69B77651AE72,B,initial_expert_rl,1
REC-0564BECCBAA1B7C5,TRN-C8EC506DA0D6151C,C,initial_expert_rl,1
REC-05670057CB19C0A6,TRN-D722BCEE8CF5C039,B,initial_expert_rl,1
REC-05930E0F451DD85D,TRN-2D93706ABFB1ECFC,C,initial_expert_rl,1
REC-05AA7CC9BE780D45,TRN-F353EE8AEFC8699F,C,initial_expert_rl,1
REC-05AFFD2621899795,TRN-EF7FA47732E4AFBD,B,initial_expert_rl,1
REC-05BE943F7B081323,TRN-92CFFF442435FD04,A,initial_expert_rl,1
REC-05E94D47F80C8FB6,TRN-7337BA74EE16AB4E,C,initial_expert_rl,1
REC-06005CB06CCBD65F,TRN-B7C6272A20855914,C,initial_expert_rl,1
REC-0631F965B57C9039,TRN-D4396F48CB4BABC9,C,initial_expert_rl,1
REC-063E71599BD0A894,TRN-368412DFE9BD0B4A,C,initial_expert_rl,1
REC-06449D77496FB1FF,TRN-2A03E1CD11615F2D,B,initial_expert_rl,1
REC-0667494BDDADBEEF,TRN-E74A0609F493B491,C,initial_expert_rl,1
REC-068789A956055F9D,TRN-670008B5ADA5C3CF,C,initial_expert_rl,1
REC-06943C26521199C7,TRN-F3F2C88E9FA6FCA0,C,initial_expert_rl,1
REC-069886F546779432,TRN-9917F2620F504CDF,A,initial_expert_rl,1
REC-069A60C54EA7A17F,TRN-604239D692D2E8B2,C,initial_expert_rl,1
REC-06A15566124A7206,TRN-8BACDFFD7B1D2D33,C,initial_expert_rl,1
REC-06ADA77EE5FB5275,TRN-F7D8AFC7387227DE,B,initial_expert_rl,1
REC-06F1E4DFABEF0D4C,TRN-3831829205A7E1AB,C,initial_expert_rl,1
