anon_instance_id,category,initial_rl_record_count
TRN-000470B715FE3BBB,A,1
TRN-0028BDFFB81852A4,C,1
TRN-004EF7EB2A58BCE2,A,1
TRN-005B2EC41F89680B,B,1
TRN-00609AE00BF09232,C,1
TRN-00718408537EBB93,C,1
TRN-007FF158D422FD8D,C,1
TRN-00ACA74A7941F6FC,C,1
TRN-00B8098A9CE4AEE9,B,1
TRN-00BA5924FDCCE4C7,C,1
TRN-00CEDB01262EA8CE,B,1
TRN-00E4E876B2CC48A9,A,1
TRN-013538F79DC7D105,A,1
TRN-0149504B59C606F3,C,1
TRN-014BE08A6B9A0709,C,1
TRN-01564B7C4CA9DC8C,B,1
TRN-0156DF4FFEA84FC5,C,1
TRN-015CF12182869E6B,A,1
TRN-016EE6F5D42B9F73,B,1
TRN-01710183D9A6C696,C,1
TRN-01758F61A60F2530,C,1
TRN-017CFE2E01527FE9,A,1
TRN-0186A33E9984F437,A,1
TRN-019D0094C9A24CF6,C,1
TRN-01B83BE4940B9409,C,1
TRN-01D424C4172881C6,C,1
TRN-0205DD004932A1B8,A,1
TRN-02497F5F70CDEB8E,B,1
TRN-0250E27DF0AB5F61,A,1
TRN-029E94667FBE2EB2,C,1
TRN-02AB76E7D510B3DB,A,1
TRN-02B4F104D975A6CC,C,1
TRN-0322381F14B3EB2B,B,1
TRN-032E3A6D0AE42E57,B,1
TRN-0342CEB0B1DD7D6D,B,1
TRN-036F6128D1CE9D6B,C,1
TRN-0378B814F24440C5,C,1
TRN-038D79469F6FBF39,C,1
TRN-039B4CC941C6561D,C,1
TRN-03A40B134B795BB5,C,1
TRN-03A6156ADD94FEF6,A,1
TRN-03C0140326CDD64F,B,1
TRN-03D700713A9952AB,C,1
TRN-03FA34A9FF48943E,A,1
TRN-040F485CFDE95B4F,B,1
TRN-04160BD026F9C833,C,1
TRN-04165F8DE05E92ED,C,1
TRN-041EF1FD28720A5E,B,1
TRN-043D6AAE0345E974,B,1
TRN-047904192E013882,A,1
TRN-048F98AE5C342C33,A,1
TRN-04A5380B250B8884,C,1
TRN-04C0C6980086600D,C,1
TRN-04E8B261D741A822,A,1
TRN-04F514C1AA2EE7BE,B,1
TRN-05094B0D1C1F79E7,B,1
TRN-051B77C8B920CFBB,C,1
TRN-0537A5DD06DBF1F3,A,1
TRN-0545A17FDCB4554C,A,1
TRN-05D2B2123B4F00F0,C,1
TRN-05DCE6099C8158CD,C,1
TRN-05F41A152137175D,C,1
TRN-05F4F8AFAC0D75A9,C,1
TRN-060C3C7491D6F43E,C,1
TRN-06118FA13DEB2FC4,B,1
TRN-061D5FA69CECE1E3,C,1
TRN-06223677706F6605,C,1
TRN-065B9866E9E3B336,A,1
TRN-065E9743E2D37BA2,C,1
TRN-0676A3E655B08B1B,C,1
TRN-068704F56077FFD0,C,1
TRN-069B342EB5EBFA78,A,1
TRN-06A29195416183DD,C,1
TRN-06B7E58237457AB4,C,1
TRN-06BFA483A2457002,B,1
TRN-07051A6AD643C7A8,C,1
TRN-070863BCCBBDE47F,C,1
TRN-072AA7E7EDF4EBCC,C,1
TRN-073ECC6103FE5013,C,1
TRN-0750343EB1F5D44F,C,1
TRN-075B647775B7FBA0,C,1
TRN-076AEE618353605C,C,1
TRN-07851DE09074DAE5,A,1
TRN-07C7A0EDF0517A75,C,1
TRN-07CE9A63CABB0E51,B,1
TRN-07CF84199DD2A4B8,A,1
TRN-0805A45895AA6BC0,C,1
TRN-081B06256E404ABB,B,1
TRN-0851A8C7250267EF,C,1
TRN-0875B2723B0EF210,C,1
TRN-088E89A8F4A56323,B,1
TRN-0899755D830DF34C,A,1
TRN-08B5D8CAB6860AAD,C,1
TRN-0917D1733E2F1F42,C,1
TRN-0931040AC4049D75,A,1
TRN-09377B1053F4B9EC,C,1
TRN-09A63CAE8DE48EB1,B,1
TRN-09A965C9196C8C30,C,1
TRN-09B501833185B382,C,1
TRN-09C4B3DB32CA4996,C,1
TRN-09D2F6A663981D43,C,1
TRN-09EB8161DE0475EC,B,1
TRN-0A313803711E2C92,B,1
TRN-0A6311882239466D,A,1
TRN-0A7D17C6E6F730B6,A,1
TRN-0A944D032A6D918F,C,1
TRN-0A98C3CFE7BEF32B,B,1
TRN-0AABA3A201BCB0E5,B,1
TRN-0AAC118DC1F0AA08,C,1
TRN-0AB34BA9C0AB08CC,A,1
TRN-0ABB44EB410F9BE4,B,1
TRN-0AF15DDA819E4703,C,1
TRN-0AFB5D1D3374C07B,C,1
TRN-0B0B720D89F34201,B,1
TRN-0B8FF9EB1C622D0E,B,1
TRN-0B9062E4BE2A288A,A,1
TRN-0B9088C2180EFB7B,C,1
TRN-0BB012A2579CB880,B,1
TRN-0BBC87CA753D8244,C,1
TRN-0BD28B7B581DE959,C,1
TRN-0BDB784F1627ECDE,C,1
TRN-0BDE77367C20FBCD,C,1
TRN-0C1F7EADDC4B2546,C,1
TRN-0C31A9BAEF8E9D14,C,1
TRN-0C344A77F9439644,C,1
TRN-0C5254CC39E94900,A,1
TRN-0C56F488A781077C,C,1
TRN-0C67434751A84FE3,C,1
TRN-0C71AB0A2612E503,C,1
TRN-0CB3F34202D600C7,C,1
TRN-0CED7243A1D46BDB,B,1
TRN-0CFF5D2A5ACAA7D4,A,1
TRN-0D190D2C6F79AA91,C,1
TRN-0D1A872C0D3A411C,C,1
TRN-0D1BC7D342B84EC6,C,1
TRN-0D1F2F8EE67A36EE,C,1
TRN-0D3B777FC342E6D0,C,1
TRN-0D3CA0438F8875BD,C,1
TRN-0D4CFA757373C79D,C,1
TRN-0D59940EC8DC3EDD,C,1
TRN-0DEFACB9D437EC5E,B,1
TRN-0E34D137BB8E2386,C,1
TRN-0E503D26E33C8DD3,C,1
TRN-0E8715DB9CB374C4,C,1
TRN-0E98898FA3053800,C,1
TRN-0EDA5E9E810A70A4,B,1
TRN-0EE4BF1185DF1CD6,C,1
TRN-0EEAB24362E89292,A,1
TRN-0EF24C39B33FD30D,A,1
TRN-0F0CC2CE7CB3F821,A,1
TRN-0F0F17499DF0F513,C,1
TRN-0F2973D73D81CB45,C,1
TRN-0F4482E7CC8E52B8,C,1
TRN-0F46C559D7CC748B,A,1
TRN-0F7D4B35EBC8A7AC,C,1
TRN-0F844742DD1BAE64,C,1
TRN-0FA1363721F26E70,C,1
TRN-0FC8D0F8F2CE0BEE,B,1
TRN-0FDB9C7E9FEFF192,B,1
TRN-1017D1840E8B652E,C,1
TRN-101EB3CF1474F6A9,C,1
TRN-102247B14BD0505B,B,1
TRN-10309C8F15C4C9B6,C,1
TRN-1059D3C309E7582A,A,1
TRN-106E2DD044E0F28A,B,1
TRN-10860A3C056D4F26,C,1
TRN-1093295C1D194649,B,1
TRN-10A03C174AD64769,A,1
TRN-10CF14E7DBC8C243,C,1
TRN-10D84CC3567722A3,C,1
TRN-11035CB6A670BA9F,C,1
TRN-111626B6F62AFDD9,B,1
TRN-111E03803BECEF8E,C,1
TRN-1120B3C98B9E4953,C,1
TRN-1152D0F7365C02F1,C,1
TRN-115BC482BA5DDDCC,B,1
TRN-1160ECFC51A79ABF,B,1
TRN-1174F8855C631339,B,1
TRN-119D311037A23643,C,1
TRN-11B32446569FE25C,C,1
TRN-11B968B98D5B604C,C,1
TRN-11C32B5FBB182E8F,C,1
TRN-11E589CCB05725CB,A,1
TRN-11EF44801D7FAA48,B,1
TRN-1204F7D38F44B51E,B,1
TRN-123D7F27F302B653,B,1
TRN-123E2F5A3717558F,C,1
TRN-1249DF41837AE6CE,C,1
TRN-125C866CE00525F4,C,1
TRN-126A63EAD42BB71B,A,1
TRN-126D85ACA7B9C9CD,C,1
TRN-126E9D1A9D5ACBBC,C,1
TRN-1281D3158BB1A51E,C,1
TRN-128CCDA984627651,C,1
TRN-129BFCEC6FDD8E08,C,1
TRN-12CE96685E1CD76F,C,1
TRN-12E63A7FFAC6D33B,C,1
TRN-12EE6C93AB6C1330,C,1
TRN-133F1F3C1915506D,C,1
TRN-1351690F083B8001,B,1
TRN-137E1FB618DF9398,C,1
TRN-1391D7404BAE3934,B,1
TRN-13B2430867F02D56,C,1
TRN-13B413B02526BB6F,C,1
TRN-13B5838CC6778631,C,1
TRN-13F5B14AFE4378D9,C,1
TRN-141C1BB26CC28E75,A,1
TRN-145D128153C8CB10,A,1
TRN-148443C23274E13D,C,1
TRN-1499BEE9F1187314,A,1
TRN-14A6B1B9F6FCF38A,C,1
