mopd_record_id,manifest_position,anon_instance_id,source_record_id,teacher_category,upsample_occurrence
MOPD-4A269E5FC0817E97,1,TRN-014BE08A6B9A0709,REC-C43B63A2A718FAB5,C,1
MOPD-9A93576A6B4959BC,2,TRN-24726D7B2F26F253,REC-2B207283ECA273A4,A,1
MOPD-AABDE09D4BDBAE89,3,TRN-969D61CCA83856EB,REC-5BBBBAF81CCB183C,A,1
MOPD-6E581FBB0583D45C,4,TRN-5C8D62151068C670,REC-FB2CAEFA6F3E1E40,A,1
MOPD-E970245069A557DA,5,TRN-8D46B580026E2502,REC-DC131071A06F15CE,C,1
MOPD-F6616294ABC0E3CF,6,TRN-D095A6067FA63420,REC-44EC43297C30CA0C,B,1
MOPD-5C88BB19D95762AE,7,TRN-0F46C559D7CC748B,REC-5BB2DC49E4ECE95E,A,1
MOPD-C286D87AA40FD22F,8,TRN-1D7ABD5AFC8BC8A3,REC-032DFF0B23B10D7A,A,1
MOPD-F329B38739782D1A,9,TRN-4EA09BE5486792D8,REC-A69916F30148FC6E,C,1
MOPD-F5F806CBB69AE623,10,TRN-EEA55BC5790C36F2,REC-028C2E853337532C,A,1
MOPD-57412088A4D14667,11,TRN-1B07826C05B27A13,REC-98000E2F27BD2D19,C,1
MOPD-522373C583DC9F9E,12,TRN-E123055F8F26D4A7,REC-34E1C543F9B9B19C,A,1
MOPD-21B1B95DBCF7073C,13,TRN-9B4DA2EAC367A3AC,REC-494A53AA12F4F020,A,1
MOPD-27EE5853A842F03C,14,TRN-4AC88586D82CEDEB,REC-AAA094765F26701A,B,1
MOPD-48952651B3CD5911,15,TRN-45F4BC9AB388EE27,REC-10F17AA8354B2718,A,1
MOPD-1103DA2EC8057611,16,TRN-43F8AFB4C8FBB0DC,REC-53E994225865E4B9,B,1
MOPD-5CDFEC80F9EECFDD,17,TRN-E070FB480A433CC5,REC-7ADE99F5501213AB,C,1
MOPD-360FCF30DA850ACB,18,TRN-C5E2588E8620F9AD,REC-C700DD8619669A9E,C,1
MOPD-157FA056EF3039A8,19,TRN-4AC88586D82CEDEB,REC-AAA094765F26701A,B,2
MOPD-A1F1BAB823D069F9,20,TRN-2A03E1CD11615F2D,REC-06449D77496FB1FF,B,1
MOPD-6320B5899FB29E9A,21,TRN-962628B09B7814F4,REC-A28E10BEE253AD65,C,1
MOPD-FAFE046E0D3BFDEB,22,TRN-E49FB8CB2D0B6FAA,REC-5C65F4C441191964,B,1
MOPD-A1F2D7E65403B49A,23,TRN-95F40F68A9882F10,REC-385AFE4C09666327,B,1
MOPD-2E99F0E2ECDE6D64,24,TRN-99903EA1117EA542,REC-0EE5D1459E5E0C96,B,1
MOPD-79FEAD642941A028,25,TRN-A3D2ED221F26816B,REC-09AD8EAB00E608B6,C,1
MOPD-221D980507B14493,26,TRN-6E17E4A24F2FA62D,REC-3A1C5DD43A910D9C,C,1
MOPD-33687392BC149D3C,27,TRN-50C4EE3DFACFDBCD,REC-050870C2099F1DA6,C,1
MOPD-B70494F01735F182,28,TRN-18E0E1A0137BAEC5,REC-0ABBF29E5624B95F,C,1
MOPD-E7876A54DBE1F397,29,TRN-C92B63258DF41880,REC-99F392E1E61C01C0,B,1
MOPD-699FA440F7D061AF,30,TRN-EFB731837AE10FDE,REC-1D00E650DCA7046F,A,1
MOPD-34B3FD464F69BC0A,31,TRN-E49C4CCA565C44B6,REC-5D430078D9A1C6D6,B,1
MOPD-40CBA77B944D2B08,32,TRN-F8146E23CE0C0DBE,REC-BC5409CB78E65BAE,B,1
MOPD-5524E565C471C82E,33,TRN-E3E62973CC004D4F,REC-238BE62A100A2A1E,B,1
MOPD-0CCAE3380E798A13,34,TRN-D878DF547A4C169F,REC-545D5FC9F73FE1AF,C,1
MOPD-24FBF8D70D9C17AB,35,TRN-1856A79B23878148,REC-E2CF513F35CAF035,C,1
MOPD-5F6945F3EB7F1CB9,36,TRN-00E4E876B2CC48A9,REC-5B5BBAC0A1B6BC40,A,1
MOPD-372E369460B5CB74,37,TRN-7928F8F0345E5632,REC-9F57811B263DDA76,C,1
MOPD-915086919FE2DB78,38,TRN-0F0CC2CE7CB3F821,REC-CFF5758CB6E463BD,A,1
MOPD-1045103F8107C011,39,TRN-7010340C179CAF7D,REC-20695065A470FF61,A,1
MOPD-8A1C581ACB4087E6,40,TRN-1F5BEE6E122E748F,REC-CCA2C59331CD76C4,C,1
MOPD-BE7D52FA02F35B12,41,TRN-FFEDF482C8445057,REC-A8E8FD0D2CE0B3E5,A,1
MOPD-3501CDEE38D96EE4,42,TRN-59BBA8FF646636BD,REC-397FE80D38288551,A,1
MOPD-C2AEF9F6F6E06849,43,TRN-B848BD299EE213A1,REC-6E86BC4D725024C6,A,1
MOPD-1341F9CDC59B002D,44,TRN-76FD977C9F2A8781,REC-326287F21BCF1395,B,1
MOPD-7E7C97D2895F7980,45,TRN-DB233E34ACBDCBE5,REC-4F21B1202A7AC37F,B,1
MOPD-7A91115A06013DD7,46,TRN-2D93706ABFB1ECFC,REC-05930E0F451DD85D,C,1
MOPD-EFDB20AD6AC55C16,47,TRN-05094B0D1C1F79E7,REC-191F8DFBB19F7C45,B,1
MOPD-D332D85FA3487081,48,TRN-44DE5FF7A88DD5C4,REC-DFEC979E85B5AD6E,C,1
MOPD-15F361368E5ED21E,49,TRN-95F40F68A9882F10,REC-385AFE4C09666327,B,2
MOPD-431098D30CAF5099,50,TRN-6792491473B606ED,REC-9D8CC61D2F6C9438,A,1
MOPD-750A5DE86E793BA7,51,TRN-32276E506E56E286,REC-D24D59061CD64691,B,1
MOPD-7D63FD648FC0F94E,52,TRN-D88CBD8226AFCECF,REC-91F096110F4D66A2,B,1
MOPD-2459610C4D36EC0A,53,TRN-6E05ED7BEDA30E09,REC-7E08B3F8A1721DA4,C,1
MOPD-B72B392682602209,54,TRN-E109061DD1715EA0,REC-7F8A7197A7F98E22,B,1
MOPD-CA9DD649AC58CDD5,55,TRN-306D51611F97D8F6,REC-8FABD2946B456A0B,A,1
MOPD-2B2B60A8E7FE3D91,56,TRN-4F7432CE63732524,REC-E441F69FA54AE066,C,1
MOPD-FA1477B0AFF054A9,57,TRN-111626B6F62AFDD9,REC-75221FB8EBB00D2D,B,1
MOPD-9068E169B0F97F23,58,TRN-2274AB20147A2D91,REC-A049530A6A9CC4B6,C,1
MOPD-A428FF3E109DEC66,59,TRN-50BFDED018A48E6B,REC-A31F5D4F5140F393,C,1
MOPD-160980F8AD0A277B,60,TRN-F7F8F2E25E1D5D14,REC-CF5A6E85F1D5D271,A,1
MOPD-DE11AA2D53189A0B,61,TRN-3C9915FD4873F58E,REC-C80E40F4CDF45D4E,C,1
MOPD-1FEC09C8D0BACA0E,62,TRN-A6408B75CFDB7D7A,REC-CD064938FD260EC3,C,1
MOPD-6F1AD4C698911B37,63,TRN-9F3A6938C3B71246,REC-922F000010297110,C,1
MOPD-0E4B3FC9C2A10B66,64,TRN-AC3E019D18C2035F,REC-BB895C6920CFCA15,B,1
MOPD-2A5D2E6E8DEA5FB8,65,TRN-04F514C1AA2EE7BE,REC-A48D0B6E51441BE1,B,1
MOPD-B28A4FA3974E9F8E,66,TRN-D183E4F29CD30B8E,REC-6B2A7D45E45E4B38,A,1
MOPD-5F966F55B3AC5233,67,TRN-B268472C2FBECCC7,REC-F306522655DB1C4D,C,1
MOPD-24DDA67AC2F709D1,68,TRN-09EB8161DE0475EC,REC-3174F959A809A5E3,B,1
MOPD-B2C01C27F50E749D,69,TRN-8134AE8F5F0357E3,REC-A0725D593FC78F94,B,1
MOPD-58E177FA31031E98,70,TRN-51063D8B35947FC5,REC-47B034F30DF35D32,A,1
MOPD-A0473E5CD12FB9A0,71,TRN-B5BF062E7280CC39,REC-5F0C3A580573B71C,C,1
MOPD-B667799485437012,72,TRN-AC54D518587B005D,REC-5CB95F44DD866007,C,1
MOPD-CB768A85B41CD064,73,TRN-5B1F8AA40990EE16,REC-229859B24877C032,A,1
MOPD-F0445DCFEAB4D444,74,TRN-A43B5A54BED55559,REC-7DEE9ABF29F2012D,A,1
MOPD-B9A1AFA6F68501FB,75,TRN-663A3ADA75CB898E,REC-119C25929B771294,B,1
MOPD-A0AAE2476DD1C504,76,TRN-1B08EFC650D57650,REC-F73DDE43271F4AE2,C,1
MOPD-F7A59673493D9F70,77,TRN-335C8CF59E16871A,REC-D695E980679EFC9C,A,1
MOPD-1F9C8A3993BFB765,78,TRN-2D4D27B7D2774217,REC-C0E368D512FD83FE,B,1
