anon_record_id,anon_instance_id,routing_group,training_phase,source_subset,record_occurrence
REC-000DCAA90B37430F,TRN-ACAEF9146825296B,C,pooled_joint_rl,initial_rl,1
REC-001A0F1410CF3EF4,TRN-60E746B3EE44B65F,C,pooled_joint_rl,initial_rl,1
REC-0022476E57878C5A,TRN-71FD2FB833427C73,A,pooled_joint_rl,initial_rl,1
REC-0026CE05592E4DC4,TRN-C2E71829786DD987,U,pooled_joint_rl,rest_3954,1
REC-0029F0761AE30740,TRN-6701A0136685F858,U,pooled_joint_rl,rest_3954,1
REC-0030A4CE1AD1F9E3,TRN-E7A656D65427FCFF,C,pooled_joint_rl,initial_rl,1
REC-00367EB32B89E9EC,TRN-D117BF53733089F6,B,pooled_joint_rl,initial_rl,1
REC-003F611519172A11,TRN-9FC81BBBD55C4995,U,pooled_joint_rl,rest_3954,1
REC-004010E38D0B29E1,TRN-F9F715F67A68E532,C,pooled_joint_rl,initial_rl,1
REC-005701345AB4DE38,TRN-8B7EB1B7E8C80839,A,pooled_joint_rl,initial_rl,1
REC-0058275032B78C38,TRN-87F3D3FC0020D93E,U,pooled_joint_rl,rest_3954,1
REC-00586679EA4A9AAE,TRN-372EB547B60C7659,U,pooled_joint_rl,rest_3954,1
REC-0059BFDFE78F83BA,TRN-3D12529DA7F5935A,C,pooled_joint_rl,initial_rl,1
REC-006DFF678E898F4D,TRN-6FAA766CEFDFA02C,A,pooled_joint_rl,initial_rl,1
REC-007A7A57005BD494,TRN-FFA8D747DD6AC03A,C,pooled_joint_rl,initial_rl,1
REC-00830D12EBA9C213,TRN-3D3551211D5C6B59,C,pooled_joint_rl,initial_rl,1
REC-009036FACFF4FAFB,TRN-7CA38482D391AFA3,U,pooled_joint_rl,rest_3954,1
REC-0099BF289171F631,TRN-E61D965DE432E9FA,C,pooled_joint_rl,initial_rl,1
REC-00AFFF113FAF2F5B,TRN-8F37E4CACF0B6E68,U,pooled_joint_rl,rest_3954,1
REC-00C296D350423F0E,TRN-B7A6A43234CA3FDF,U,pooled_joint_rl,rest_3954,1
REC-00DF6290E30D8FDB,TRN-27D125019698B4AA,C,pooled_joint_rl,initial_rl,1
REC-00E09DD68DB28F47,TRN-3ACB4E8710D66348,U,pooled_joint_rl,rest_3954,1
REC-00E1706A63B1132A,TRN-EFC75F1B54D27CAC,B,pooled_joint_rl,initial_rl,1
REC-00E3AEC165B9828F,TRN-19C6CCA0B1936D9E,U,pooled_joint_rl,rest_3954,1
REC-00E530911A161A11,TRN-990E8CDF7EA1E67B,U,pooled_joint_rl,rest_3954,1
REC-00E933942E0D8210,TRN-40BEE59D2D06C25D,U,pooled_joint_rl,rest_3954,1
REC-01095C2F7148DEFD,TRN-89C6DB7CE3C36CBD,U,pooled_joint_rl,rest_3954,1
REC-0118046464C664C5,TRN-ECEA2ADAB0AAAFD9,U,pooled_joint_rl,rest_3954,1
REC-01188413023E0ED8,TRN-E8EAFBE4D403863D,U,pooled_joint_rl,rest_3954,1
REC-01283FCBA22ADC8B,TRN-28032D74D78BFDFA,U,pooled_joint_rl,rest_3954,1
REC-01332E8FF2DC4F43,TRN-C0B72496EAA6F928,C,pooled_joint_rl,initial_rl,1
REC-013C2960B283D09F,TRN-E15BCE8AF1431F8A,U,pooled_joint_rl,rest_3954,1
REC-013DDDCC69695C9D,TRN-F170A5660517D0DE,U,pooled_joint_rl,rest_3954,1
REC-014ABD5F6534D8D5,TRN-9D73B73FC5E38D7E,C,pooled_joint_rl,initial_rl,1
REC-0163130DD07F44F7,TRN-2E62C10D14BFA947,C,pooled_joint_rl,initial_rl,1
REC-016676BC99BE55B1,TRN-61CD5CBBBE07C7CB,U,pooled_joint_rl,rest_3954,1
REC-01688D2B86AC3FC1,TRN-F8B59EA3E50AE136,U,pooled_joint_rl,rest_3954,1
REC-017BA86A3F594EF2,TRN-FCAE87006B64CBF5,B,pooled_joint_rl,initial_rl,1
REC-017EFD28CA1713D2,TRN-FAF734940C806AF1,U,pooled_joint_rl,rest_3954,1
REC-01858ACA93B91F1C,TRN-A475FDADDE8F1D24,B,pooled_joint_rl,initial_rl,1
REC-01952202EDE18FFD,TRN-ACD95B5C45C05E85,U,pooled_joint_rl,rest_3954,1
REC-0199E301F00E3644,TRN-6A009BE8D52FBA57,U,pooled_joint_rl,rest_3954,1
REC-01A307A54F47352D,TRN-5561FCC74CB2D833,U,pooled_joint_rl,rest_3954,1
REC-01AAB067289CB116,TRN-42DC71B3FF4E34A2,C,pooled_joint_rl,initial_rl,1
REC-01AC5CAF14149363,TRN-578E43369DCFEC8E,C,pooled_joint_rl,initial_rl,1
REC-01B88AEE4850729F,TRN-7F3205801ADC4147,C,pooled_joint_rl,initial_rl,1
REC-01C230AF0546D9B4,TRN-521D11257EA7C2DB,U,pooled_joint_rl,rest_3954,1
REC-01C32E9A338D7E67,TRN-B8D8861769C8FDB3,U,pooled_joint_rl,rest_3954,1
