anon_instance_id,routing_group,source_subset,pooled_record_count
TRN-00013B1E79E92BDA,U,rest_3954,1
TRN-000470B715FE3BBB,A,initial_rl,1
TRN-00087F1972F4A5EC,U,rest_3954,1
TRN-00112045FEE05041,U,rest_3954,1
TRN-0018BB6002AEE4CA,U,rest_3954,1
TRN-001B9AE107D98775,U,rest_3954,1
TRN-00208EB084D722DB,U,rest_3954,1
TRN-0028BDFFB81852A4,C,initial_rl,1
TRN-0043FAC05466F21F,U,rest_3954,1
TRN-004EF7EB2A58BCE2,A,initial_rl,1
TRN-005B2EC41F89680B,B,initial_rl,1
TRN-00609AE00BF09232,C,initial_rl,1
TRN-006CC86B0B3C7B4A,U,rest_3954,1
TRN-00718408537EBB93,C,initial_rl,1
TRN-007819133F955305,U,rest_3954,1
TRN-007FF158D422FD8D,C,initial_rl,1
TRN-00800BAEE88B06B2,U,rest_3954,1
TRN-00ACA74A7941F6FC,C,initial_rl,1
TRN-00B61CE6AC3C96E4,U,rest_3954,1
TRN-00B8098A9CE4AEE9,B,initial_rl,1
TRN-00BA5924FDCCE4C7,C,initial_rl,1
TRN-00C46102B80DCD78,U,rest_3954,1
TRN-00CEDB01262EA8CE,B,initial_rl,1
TRN-00DE53217527EAFF,U,rest_3954,1
TRN-00E4E876B2CC48A9,A,initial_rl,1
TRN-0106255E2DF61C86,U,rest_3954,1
TRN-013538F79DC7D105,A,initial_rl,1
TRN-0147650F359939A0,U,rest_3954,1
TRN-0149504B59C606F3,C,initial_rl,1
TRN-014BE08A6B9A0709,C,initial_rl,1
TRN-014CB7EECDAABFB2,U,rest_3954,1
TRN-01564B7C4CA9DC8C,B,initial_rl,1
TRN-0156DF4FFEA84FC5,C,initial_rl,1
TRN-015CF12182869E6B,A,initial_rl,1
TRN-016EE6F5D42B9F73,B,initial_rl,1
TRN-01710183D9A6C696,C,initial_rl,1
TRN-01758F61A60F2530,C,initial_rl,1
TRN-017CFE2E01527FE9,A,initial_rl,1
TRN-0186A33E9984F437,A,initial_rl,1
TRN-018910097E2B6AC9,U,rest_3954,1
TRN-018A3BDA9E6A8D8E,U,rest_3954,1
TRN-019652D421B100C4,U,rest_3954,1
TRN-019C7905985B9D71,U,rest_3954,1
TRN-019D0094C9A24CF6,C,initial_rl,1
TRN-01AC80128EDC94BD,U,rest_3954,1
TRN-01B83BE4940B9409,C,initial_rl,1
TRN-01BAA03D4E61E7B7,U,rest_3954,1
TRN-01D424C4172881C6,C,initial_rl,1
TRN-01F855816B83F96D,U,rest_3954,1
TRN-0205DD004932A1B8,A,initial_rl,1
TRN-02087A2D83CEDFC7,U,rest_3954,1
TRN-021238C2DD6AFC14,U,rest_3954,1
TRN-021F0D9CCD116BA9,U,rest_3954,1
TRN-02497F5F70CDEB8E,B,initial_rl,1
TRN-0250E27DF0AB5F61,A,initial_rl,1
