expanded_rl_record_id,anon_instance_id,category,selected_for_expanded_rl,selection_origin,sampling_pool,current_raw_passrate,current_valid_passrate,n_observed,n_valid,n_pass,infra_failure_rows
ERL-48C8425659BB3E97,TRN-E07EB2136FDB8DF1,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-BEAEF35C6626DD16,TRN-27783F06CDAA7C43,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-FC1B3EEA1A63FB2A,TRN-9014EC4FA6CB630D,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-FB1661E486833297,TRN-7AF61310E60736E3,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-1D67E07D6C06A053,TRN-013538F79DC7D105,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-78E36022434CBD6E,TRN-5316502D93C1A5EA,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-707F9B4734D8F2B9,TRN-E537689D73752319,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-A45432E7E7E1C987,TRN-0729BE280172BBFD,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-7AC3BDDF08E65D14,TRN-9917F2620F504CDF,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-71F3E9DB72D3E6EC,TRN-F388075B62710901,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2DDDED0D1798A653,TRN-70C5F7157939531D,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-7BD1A29D0FE8EF07,TRN-306D51611F97D8F6,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-8152D89437D7B4AE,TRN-F588A8200C762A7D,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-3F5A9FD87868246A,TRN-0931040AC4049D75,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-6A8D3121E7D5A7E2,TRN-8590FD3C9141BB58,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-CF3BE1A7EFE813A4,TRN-55BD463FE04F95E5,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-1B0D129F6C727109,TRN-8E29550881D16AB7,A,true,stage1_overlap,informative_non_extreme,0.25,0.3333333333333333,4,3,1,1
ERL-A8ADEF821C95B483,TRN-A0CFF6FFFB45434C,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-E9FC6701978D80B6,TRN-34C943432F84B6E3,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-097B5A7D0A6867B3,TRN-2FC9CD44DBA9CF33,A,true,unseen_probe,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2CB90CD2936A8D66,TRN-E63E3D4AAE50CA51,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-E655CC74C4414467,TRN-141C1BB26CC28E75,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-E10E24BDFCCDC41F,TRN-43C455BC4AB02975,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
