category,policy,model_id,base_mean_pct,model_mean_pct,gain_pp,expert_gain_recovery_pct
A,pooled,pooled,51.73453996983409,54.751131221719454,3.016591251885366,
A,balanced,balanced,51.73453996983409,54.44947209653092,2.71493212669683,
A,corresponding_expert,expert_A_second_repair_sft,51.73453996983409,59.57767722473605,7.843137254901961,
A,mopd,mopd,51.73453996983409,58.06938159879336,6.334841628959275,80.76923076923075
B,pooled,pooled,54.39469320066335,56.71641791044776,2.3217247097844123,
B,balanced,balanced,54.39469320066335,57.04809286898839,2.6533996683250436,
B,corresponding_expert,expert_B_second_repair_sft,54.39469320066335,58.872305140961856,4.477611940298509,
B,mopd,mopd,54.39469320066335,59.3698175787728,4.975124378109456,111.11111111111114
C,pooled,pooled,51.87074829931973,55.102040816326536,3.231292517006807,
C,balanced,balanced,51.87074829931973,54.59183673469388,2.721088435374149,
C,corresponding_expert,expert_C_second_repair_sft,51.87074829931973,57.48299319727891,5.6122448979591795,
C,mopd,mopd,51.87074829931973,56.63265306122449,4.761904761904759,84.84848484848486
