run_id,benchmark_id,model_id,category,successes,denominator,score_pct
pro618__base__r01,pro618,base,Full,323,618,52.26537216828479
pro618__base__r01,pro618,base,A,113,221,51.13122171945702
pro618__base__r01,pro618,base,B,111,201,55.223880597014926
pro618__base__r01,pro618,base,C,99,196,50.51020408163265
pro618__base__r02,pro618,base,Full,327,618,52.9126213592233
pro618__base__r02,pro618,base,A,115,221,52.036199095022624
pro618__base__r02,pro618,base,B,111,201,55.223880597014926
pro618__base__r02,pro618,base,C,101,196,51.53061224489796
pro618__base__r03,pro618,base,Full,326,618,52.750809061488674
pro618__base__r03,pro618,base,A,115,221,52.036199095022624
pro618__base__r03,pro618,base,B,106,201,52.7363184079602
pro618__base__r03,pro618,base,C,105,196,53.57142857142857
pro618__pooled__r01,pro618,pooled,Full,341,618,55.17799352750809
pro618__pooled__r01,pro618,pooled,A,122,221,55.203619909502265
pro618__pooled__r01,pro618,pooled,B,113,201,56.21890547263681
pro618__pooled__r01,pro618,pooled,C,106,196,54.08163265306123
pro618__pooled__r02,pro618,pooled,Full,341,618,55.17799352750809
pro618__pooled__r02,pro618,pooled,A,117,221,52.94117647058823
pro618__pooled__r02,pro618,pooled,B,112,201,55.72139303482587
pro618__pooled__r02,pro618,pooled,C,112,196,57.142857142857146
pro618__pooled__r03,pro618,pooled,Full,347,618,56.14886731391586
pro618__pooled__r03,pro618,pooled,A,124,221,56.10859728506787
pro618__pooled__r03,pro618,pooled,B,117,201,58.208955223880594
pro618__pooled__r03,pro618,pooled,C,106,196,54.08163265306123
pro618__balanced__r01,pro618,balanced,Full,349,618,56.47249190938511
pro618__balanced__r01,pro618,balanced,A,123,221,55.65610859728507
pro618__balanced__r01,pro618,balanced,B,116,201,57.711442786069654
pro618__balanced__r01,pro618,balanced,C,110,196,56.12244897959184
pro618__balanced__r02,pro618,balanced,Full,342,618,55.33980582524272
pro618__balanced__r02,pro618,balanced,A,119,221,53.84615384615385
pro618__balanced__r02,pro618,balanced,B,116,201,57.711442786069654
pro618__balanced__r02,pro618,balanced,C,107,196,54.59183673469388
pro618__balanced__r03,pro618,balanced,Full,335,618,54.20711974110032
pro618__balanced__r03,pro618,balanced,A,119,221,53.84615384615385
pro618__balanced__r03,pro618,balanced,B,112,201,55.72139303482587
pro618__balanced__r03,pro618,balanced,C,104,196,53.06122448979592
pro618__mopd__r01,pro618,mopd,Full,359,618,58.090614886731395
pro618__mopd__r01,pro618,mopd,A,129,221,58.3710407239819
pro618__mopd__r01,pro618,mopd,B,122,201,60.69651741293532
pro618__mopd__r01,pro618,mopd,C,108,196,55.10204081632653
pro618__mopd__r02,pro618,mopd,Full,357,618,57.76699029126213
pro618__mopd__r02,pro618,mopd,A,125,221,56.56108597285068
