category,cohort,outcome,denominator,count,percent
A,regressed_and_in_repair,at_or_above_base,179,125,69.83240223463687
A,regressed_and_in_repair,above_rl_below_base,179,7,3.910614525139665
A,regressed_and_in_repair,at_or_below_rl,179,47,26.256983240223462
A,rl_gain_then_sft_decline,above_base,103,36,34.95145631067961
A,rl_gain_then_sft_decline,equal_base,103,48,46.601941747572816
A,rl_gain_then_sft_decline,below_base,103,19,18.446601941747574
B,regressed_and_in_repair,at_or_above_base,141,103,73.04964539007092
B,regressed_and_in_repair,above_rl_below_base,141,5,3.546099290780142
B,regressed_and_in_repair,at_or_below_rl,141,33,23.404255319148938
B,rl_gain_then_sft_decline,above_base,75,28,37.333333333333336
B,rl_gain_then_sft_decline,equal_base,75,32,42.66666666666667
B,rl_gain_then_sft_decline,below_base,75,15,20.0
C,regressed_and_in_repair,at_or_above_base,431,264,61.25290023201856
C,regressed_and_in_repair,above_rl_below_base,431,30,6.960556844547564
C,regressed_and_in_repair,at_or_below_rl,431,137,31.786542923433874
C,rl_gain_then_sft_decline,above_base,226,71,31.41592920353982
C,rl_gain_then_sft_decline,equal_base,226,103,45.57522123893805
C,rl_gain_then_sft_decline,below_base,226,52,23.008849557522122
Total,regressed_and_in_repair,at_or_above_base,751,492,65.5126498002663
Total,regressed_and_in_repair,above_rl_below_base,751,42,5.59254327563249
Total,regressed_and_in_repair,at_or_below_rl,751,217,28.894806924101196
Total,rl_gain_then_sft_decline,above_base,404,135,33.415841584158414
Total,rl_gain_then_sft_decline,equal_base,404,183,45.2970297029703
Total,rl_gain_then_sft_decline,below_base,404,86,21.287128712871286
