category,comparison,training_records,higher,equal,lower,positive_pp,negative_pp
A,initial_rl_vs_base,601,259,151,191,16.846921797004992,-9.588186356073212
A,repair_sft_vs_base,601,336,161,104,22.462562396006657,-4.970881863560732
A,repair_sft_vs_rl,601,253,219,129,17.59567387687188,-7.362728785357737
B,initial_rl_vs_base,516,216,154,146,15.116279069767442,-8.357558139534884
B,repair_sft_vs_base,516,314,121,81,25.60562015503876,-4.796511627906977
B,repair_sft_vs_rl,516,253,160,103,20.930232558139537,-6.87984496124031
C,initial_rl_vs_base,1652,633,517,502,13.680387409200968,-9.077380952380953
C,repair_sft_vs_base,1652,877,398,377,20.709745762711865,-6.6409402744148505
C,repair_sft_vs_rl,1652,705,599,348,16.638922518159806,-7.173123486682809
Total,initial_rl_vs_base,2769,1108,822,839,14.635247381726256,-9.05411099073071
Total,repair_sft_vs_base,2769,1527,680,562,22.002527988443482,-5.934753822077766
Total,repair_sft_vs_rl,2769,1211,978,580,17.64626218851571,-7.15962441314554
