plot_step,round,Full,A,B,C
5,1,51.94174757281553,50.2262443438914,53.73134328358209,52.04081632653062
5,2,52.58899676375405,51.58371040723983,54.22885572139303,52.04081632653062
10,1,53.72168284789643,54.29864253393665,54.72636815920397,52.04081632653062
10,2,52.265372168284784,50.2262443438914,50.74626865671642,56.12244897959183
15,1,54.85436893203883,56.10859728506787,57.2139303482587,51.02040816326531
15,2,52.42718446601942,52.488687782805435,53.233830845771145,51.53061224489795
20,1,55.50161812297735,54.75113122171946,56.71641791044776,55.10204081632652
20,2,52.265372168284784,51.13122171945701,55.72139303482587,50.0
25,1,53.55987055016181,52.94117647058824,55.72139303482587,52.04081632653062
25,2,53.398058252427184,52.03619909502263,57.2139303482587,51.02040816326531
30,1,50.970873786407765,48.86877828054298,50.74626865671642,53.57142857142857
30,2,53.883495145631066,52.488687782805435,55.223880597014926,54.08163265306123
35,1,52.265372168284784,51.13122171945701,54.22885572139303,51.53061224489795
35,2,52.42718446601942,51.13122171945701,53.73134328358209,52.55102040816326
40,1,53.398058252427184,53.39366515837104,54.22885572139303,52.55102040816326
40,2,53.23624595469255,53.39366515837104,56.71641791044776,49.48979591836735
45,1,55.33980582524271,55.203619909502265,55.223880597014926,55.61224489795919
45,2,52.103559870550164,50.678733031674206,53.233830845771145,52.55102040816326
50,1,53.07443365695793,50.678733031674206,54.22885572139303,54.59183673469388
50,2,54.69255663430421,54.75113122171946,57.711442786069654,51.53061224489795
55,1,54.0453074433657,55.65610859728507,54.72636815920397,51.53061224489795
55,2,52.265372168284784,51.58371040723983,55.223880597014926,50.0
60,1,53.72168284789643,52.94117647058824,56.71641791044776,51.53061224489795
60,2,53.55987055016181,51.13122171945701,56.21890547263681,53.57142857142857
65,1,53.23624595469255,52.03619909502263,55.223880597014926,52.55102040816326
65,2,52.42718446601942,51.58371040723983,53.73134328358209,52.04081632653062
70,1,53.23624595469255,54.75113122171946,54.22885572139303,50.51020408163265
70,2,55.17799352750809,53.84615384615385,56.21890547263681,55.61224489795919
75,1,53.55987055016181,53.39366515837104,54.72636815920397,52.55102040816326
75,2,54.85436893203883,52.94117647058824,58.2089552238806,53.57142857142857
80,1,54.36893203883495,55.203619909502265,56.21890547263681,51.53061224489795
80,2,53.398058252427184,54.75113122171946,54.22885572139303,51.02040816326531
85,1,54.53074433656958,53.39366515837104,56.21890547263681,54.08163265306123
85,2,54.20711974110033,53.39366515837104,55.223880597014926,54.08163265306123
90,1,55.663430420711975,55.203619909502265,59.20398009950249,52.55102040816326
90,2,53.398058252427184,51.13122171945701,57.2139303482587,52.04081632653062
95,1,52.42718446601942,51.13122171945701,51.741293532338304,54.59183673469388
95,2,55.016181229773466,53.84615384615385,54.72636815920397,56.63265306122449
100,1,54.53074433656958,52.488687782805435,57.2139303482587,54.08163265306123
100,2,54.69255663430421,55.203619909502265,54.22885572139303,54.59183673469388
105,1,55.8252427184466,55.65610859728507,57.2139303482587,54.59183673469388
105,2,52.75080906148867,52.488687782805435,54.22885572139303,51.53061224489795
110,1,52.75080906148867,54.75113122171946,52.23880597014925,51.02040816326531
110,2,53.55987055016181,51.58371040723983,55.223880597014926,54.08163265306123
115,1,53.55987055016181,50.2262443438914,56.71641791044776,54.08163265306123
115,2,55.17799352750809,56.10859728506787,54.72636815920397,54.59183673469388
120,1,55.98705501618123,54.29864253393665,57.711442786069654,56.12244897959183
120,2,51.45631067961165,53.84615384615385,49.25373134328358,51.02040816326531
125,1,54.20711974110033,52.94117647058824,55.223880597014926,54.59183673469388
125,2,53.883495145631066,56.10859728506787,54.72636815920397,50.51020408163265
130,1,52.9126213592233,51.58371040723983,53.233830845771145,54.08163265306123
130,2,52.75080906148867,52.94117647058824,52.736318407960205,52.55102040816326
135,1,54.0453074433657,54.75113122171946,55.72139303482587,51.53061224489795
135,2,54.0453074433657,54.29864253393665,54.22885572139303,53.57142857142857
140,1,55.663430420711975,56.10859728506787,55.72139303482587,55.10204081632652
140,2,55.016181229773466,54.75113122171946,58.2089552238806,52.04081632653062
145,1,54.36893203883495,52.488687782805435,54.72636815920397,56.12244897959183
145,2,51.45631067961165,49.7737556561086,54.22885572139303,50.51020408163265
150,1,53.883495145631066,53.84615384615385,55.72139303482587,52.04081632653062
150,2,53.883495145631066,53.39366515837104,54.22885572139303,54.08163265306123
155,1,53.07443365695793,56.10859728506787,51.741293532338304,51.02040816326531
155,2,52.58899676375405,52.488687782805435,52.736318407960205,52.55102040816326
160,1,53.07443365695793,52.94117647058824,53.73134328358209,52.55102040816326
