metric,step,value
score,0,0.3984375
score,1,0.2890625
score,2,0.3828125
score,3,0.4296875
score,4,0.4765625
score,5,0.4453125
score,6,0.453125
score,7,0.3984375
score,8,0.453125
score,9,0.5390625
score,10,0.4765625
score,11,0.5078125
score,12,0.5234375
score,13,0.4140625
score,14,0.421875
score,15,0.5078125
score,16,0.5390625
score,17,0.4296875
score,18,0.4453125
score,19,0.5703125
score,20,0.53125
score,21,0.5703125
score,22,0.5
score,23,0.5546875
score,24,0.5703125
score,25,0.5234375
score,26,0.53125
score,27,0.53125
score,28,0.484375
score,29,0.453125
score,30,0.5390625
score,31,0.515625
score,32,0.53125
score,33,0.5703125
score,34,0.5546875
score,35,0.484375
score,36,0.515625
score,37,0.40625
score,38,0.5078125
score,39,0.46875
score,40,0.4921875
score,41,0.5234375
score,42,0.5390625
score,43,0.515625
score,44,0.53125
score,45,0.5625
score,46,0.484375
score,47,0.5234375
score,48,0.515625
score,49,0.484375
score,50,0.5234375
score,51,0.4453125
score,52,0.546875
score,53,0.59375
score,54,0.5546875
score,55,0.5625
score,56,0.6015625
score,57,0.59375
score,58,0.4921875
score,59,0.5546875
score,60,0.4453125
score,61,0.4921875
score,62,0.5078125
score,63,0.5078125
score,64,0.609375
score,65,0.625
score,66,0.609375
score,67,0.5390625
score,68,0.484375
score,69,0.546875
score,70,0.4453125
score,71,0.484375
score,72,0.4765625
score,73,0.5078125
score,74,0.53125
score,75,0.5859375
score,76,0.5703125
score,77,0.5625
score,78,0.6640625
score,79,0.6015625
score,80,0.5390625
score,81,0.484375
score,82,0.4375
score,83,0.515625
score,84,0.515625
score,85,0.5390625
score,86,0.5859375
score,87,0.5625
score,88,0.5078125
score,89,0.546875
score,90,0.5078125
score,91,0.578125
score,92,0.609375
score,93,0.4921875
score,94,0.546875
score,95,0.5390625
score,96,0.5859375
score,97,0.6015625
score,98,0.53125
score,99,0.6015625
score,100,0.6015625
score,101,0.5625
score,102,0.5859375
score,103,0.546875
score,104,0.484375
score,105,0.5703125
score,106,0.4765625
score,107,0.6015625
score,108,0.5
score,109,0.5390625
score,110,0.5625
score,111,0.578125
score,112,0.5859375
score,113,0.609375
score,114,0.5703125
score,115,0.5859375
score,116,0.5546875
score,117,0.5078125
score,118,0.609375
score,119,0.5625
score,120,0.5546875
score,121,0.59375
score,122,0.578125
score,123,0.5625
score,124,0.6328125
score,125,0.5703125
score,126,0.5234375
score,127,0.53125
score,128,0.5859375
score,129,0.6484375
score,130,0.5859375
score,131,0.6328125
score,132,0.5078125
score,133,0.4765625
score,134,0.6015625
score,135,0.53125
kl_mean,0,0.026017925
kl_mean,1,0.024690934
kl_mean,2,0.016997637
kl_mean,3,0.019984122
kl_mean,4,0.030771118
kl_mean,5,0.026182838
kl_mean,6,0.01900847
kl_mean,7,0.023152964
kl_mean,8,0.026059857
kl_mean,9,0.02553886
kl_mean,10,0.024381038
kl_mean,11,0.023353778
kl_mean,12,0.023061851
kl_mean,13,0.022689203
kl_mean,14,0.022408195
kl_mean,15,0.025064856
kl_mean,16,0.02514567
kl_mean,17,0.023754446
kl_mean,18,0.019701963
kl_mean,19,0.018513715
kl_mean,20,0.019753376
kl_mean,21,0.018881073
kl_mean,22,0.018169377
kl_mean,23,0.018889302
kl_mean,24,0.018453218
kl_mean,25,0.019183606
kl_mean,26,0.020011485
kl_mean,27,0.021659624
kl_mean,28,0.024066558
kl_mean,29,0.019780425
kl_mean,30,0.019421369
kl_mean,31,0.017925238
kl_mean,32,0.017676992
kl_mean,33,0.017083628
kl_mean,34,0.01642192
kl_mean,35,0.01486453
kl_mean,36,0.017681336
kl_mean,37,0.019658223
kl_mean,38,0.020986846
kl_mean,39,0.021275593
kl_mean,40,0.02086646
kl_mean,41,0.020710742
kl_mean,42,0.01957382
kl_mean,43,0.018962733
kl_mean,44,0.01822008
kl_mean,45,0.018136714
kl_mean,46,0.017613718
kl_mean,47,0.015955923
kl_mean,48,0.016927622
kl_mean,49,0.015540132
kl_mean,50,0.017122477
kl_mean,51,0.018160956
kl_mean,52,0.018773608
kl_mean,53,0.017493771
kl_mean,54,0.018896211
kl_mean,55,0.01888984
kl_mean,56,0.016827427
kl_mean,57,0.016525168
kl_mean,58,0.017021485
kl_mean,59,0.01959456
kl_mean,60,0.01773728
kl_mean,61,0.0169529
kl_mean,62,0.015465289
kl_mean,63,0.01298336
kl_mean,64,0.014892272
kl_mean,65,0.013337991
kl_mean,66,0.016009826
kl_mean,67,0.015302802
kl_mean,68,0.016162751
kl_mean,69,0.019883413
kl_mean,70,0.018330727
kl_mean,71,0.020467104
kl_mean,72,0.018099533
kl_mean,73,0.016063051
kl_mean,74,0.016416714
kl_mean,75,0.016568517
kl_mean,76,0.014534966
kl_mean,77,0.015068583
kl_mean,78,0.013753754
kl_mean,79,0.013711511
kl_mean,80,0.014466342
kl_mean,81,0.014637016
kl_mean,82,0.015431786
kl_mean,83,0.016022671
kl_mean,84,0.014742539
kl_mean,85,0.014932211
kl_mean,86,0.015186519
kl_mean,87,0.016250353
kl_mean,88,0.014497709
kl_mean,89,0.015584796
kl_mean,90,0.016420022
kl_mean,91,0.0154670505
kl_mean,92,0.013467906
kl_mean,93,0.013503957
kl_mean,94,0.012433363
kl_mean,95,0.013902567
kl_mean,96,0.01291822
kl_mean,97,0.014845227
kl_mean,98,0.01420156
kl_mean,99,0.01350043
kl_mean,100,0.014570285
kl_mean,101,0.015081301
kl_mean,102,0.013654183
kl_mean,103,0.014148082
kl_mean,104,0.014755057
kl_mean,105,0.013558268
kl_mean,106,0.015352844
kl_mean,107,0.012986701
kl_mean,108,0.013599944
kl_mean,109,0.012644794
kl_mean,110,0.013017886
kl_mean,111,0.013066826
kl_mean,112,0.013114332
kl_mean,113,0.015007356
kl_mean,114,0.013308854
kl_mean,115,0.013376746
kl_mean,116,0.01355254
kl_mean,117,0.013880791
kl_mean,118,0.013917813
kl_mean,119,0.012478973
kl_mean,120,0.013828479
kl_mean,121,0.013281492
kl_mean,122,0.013016473
kl_mean,123,0.011248134
kl_mean,124,0.012720828
kl_mean,125,0.01375984
kl_mean,126,0.013907543
