figure_order,manuscript_section,artifact_path,sha256
1,01_introduction,results/figures/paper/fig_category_aware_agentic_rl_framework.png,8c2413003cfc16dbe8cd8dcfaa223fbd093373042d1350c496a9011062d0037c
2,03_problem_setup,results/figures/paper/fig_category_seesaw_motivation.pdf,53c3a4813576311c5add109c686a704e9be3ada43bf4922cd20b5fb1567d657d
3,04_method,results/figures/paper/fig_label_taxonomy_atlas.pdf,11c09e6d29d5ef90cc4145713b1a76cbe9f03060592730e0b0875770c42336c7
4,04_method,results/figures/paper/full_new_rre_png.png,2550b465db1c59c735c58ccb255b407294b94571bfe014c692a925f6e0367a8e
5,06_results_analysis,results/figures/paper/fig_pooled_balanced_contiguous_20260917.pdf,424dab4d8e4c079a9a000b2d32b6b13a7464896edb15af036f9761da7b8bc6ca
6,06_results_analysis,results/figures/paper/fig_rre_training.pdf,e5e0e819f377717a3dae97dc918123df4acda7fc98ae6ee0ed1dd7a11301f694
7,06_results_analysis,results/figures/paper/fig_mopd_training.pdf,0d731e323c21bc6e2d8b081d41572bbf8fdf317204055514c4c0a5768b9f3b7f
8,06_results_analysis,results/figures/paper/fig_mopd_category_gains.pdf,b90bba1830ab9242d66c2da10f67580db01925299aa1749212fc1eefe27fa548
9,appendix,results/figures/paper/fig_label_taxonomy_breadth.pdf,b5e9ffdce8d77fc057e1733673a483261f6ae33a34005fa1639e8aa70bd53e37
10,appendix,results/figures/paper/label_to_category_figma.pdf,514292471831d0326da8af364369c4068b5161af5e81caf5cc54b300397c6c19
