anon_instance_id,category,phase,n_successes,n_attempts,success_rate,infra_failure_count
TRN-000470B715FE3BBB,A,base,2,4,0.5,
TRN-000470B715FE3BBB,A,initial_rl,1,4,0.25,0
TRN-000470B715FE3BBB,A,repair_sft,2,4,0.5,0
TRN-004EF7EB2A58BCE2,A,base,0,4,0.0,
TRN-004EF7EB2A58BCE2,A,initial_rl,0,4,0.0,0
TRN-004EF7EB2A58BCE2,A,repair_sft,0,4,0.0,0
TRN-00E4E876B2CC48A9,A,base,2,4,0.5,
TRN-00E4E876B2CC48A9,A,initial_rl,4,4,1.0,0
TRN-00E4E876B2CC48A9,A,repair_sft,4,4,1.0,0
TRN-013538F79DC7D105,A,base,1,4,0.25,
TRN-013538F79DC7D105,A,initial_rl,0,4,0.0,0
TRN-013538F79DC7D105,A,repair_sft,1,4,0.25,0
TRN-015CF12182869E6B,A,base,1,4,0.25,
TRN-015CF12182869E6B,A,initial_rl,2,4,0.5,0
TRN-015CF12182869E6B,A,repair_sft,2,4,0.5,0
TRN-017CFE2E01527FE9,A,base,1,4,0.25,
TRN-017CFE2E01527FE9,A,initial_rl,2,4,0.5,0
TRN-017CFE2E01527FE9,A,repair_sft,4,4,1.0,0
TRN-0186A33E9984F437,A,base,1,4,0.25,
TRN-0186A33E9984F437,A,initial_rl,0,4,0.0,0
TRN-0186A33E9984F437,A,repair_sft,1,4,0.25,0
TRN-0205DD004932A1B8,A,base,1,4,0.25,
TRN-0205DD004932A1B8,A,initial_rl,4,4,1.0,0
TRN-0205DD004932A1B8,A,repair_sft,2,4,0.5,0
TRN-0250E27DF0AB5F61,A,base,3,4,0.75,
TRN-0250E27DF0AB5F61,A,initial_rl,4,4,1.0,0
TRN-0250E27DF0AB5F61,A,repair_sft,4,4,1.0,0
TRN-02AB76E7D510B3DB,A,base,2,4,0.5,
TRN-02AB76E7D510B3DB,A,initial_rl,4,4,1.0,0
TRN-02AB76E7D510B3DB,A,repair_sft,3,4,0.75,0
TRN-03A6156ADD94FEF6,A,base,0,4,0.0,
TRN-03A6156ADD94FEF6,A,initial_rl,0,4,0.0,0
TRN-03A6156ADD94FEF6,A,repair_sft,0,4,0.0,0
TRN-03FA34A9FF48943E,A,base,3,4,0.75,
TRN-03FA34A9FF48943E,A,initial_rl,2,4,0.5,0
TRN-03FA34A9FF48943E,A,repair_sft,4,4,1.0,0
TRN-047904192E013882,A,base,2,4,0.5,
TRN-047904192E013882,A,initial_rl,2,4,0.5,0
TRN-047904192E013882,A,repair_sft,2,4,0.5,0
TRN-048F98AE5C342C33,A,base,1,4,0.25,
TRN-048F98AE5C342C33,A,initial_rl,1,4,0.25,0
TRN-048F98AE5C342C33,A,repair_sft,0,4,0.0,0
TRN-04E8B261D741A822,A,base,2,4,0.5,
TRN-04E8B261D741A822,A,initial_rl,4,4,1.0,0
TRN-04E8B261D741A822,A,repair_sft,4,4,1.0,0
TRN-0537A5DD06DBF1F3,A,base,0,4,0.0,
TRN-0537A5DD06DBF1F3,A,initial_rl,0,4,0.0,0
TRN-0537A5DD06DBF1F3,A,repair_sft,0,4,0.0,1
TRN-0545A17FDCB4554C,A,base,2,4,0.5,
TRN-0545A17FDCB4554C,A,initial_rl,0,4,0.0,0
TRN-0545A17FDCB4554C,A,repair_sft,0,4,0.0,0
TRN-065B9866E9E3B336,A,base,2,4,0.5,
TRN-065B9866E9E3B336,A,initial_rl,4,4,1.0,0
TRN-065B9866E9E3B336,A,repair_sft,3,4,0.75,0
TRN-069B342EB5EBFA78,A,base,1,4,0.25,
TRN-069B342EB5EBFA78,A,initial_rl,0,4,0.0,0
TRN-069B342EB5EBFA78,A,repair_sft,2,4,0.5,0
TRN-07851DE09074DAE5,A,base,2,4,0.5,
TRN-07851DE09074DAE5,A,initial_rl,4,4,1.0,0
TRN-07851DE09074DAE5,A,repair_sft,2,4,0.5,0
TRN-07CF84199DD2A4B8,A,base,2,4,0.5,
TRN-07CF84199DD2A4B8,A,initial_rl,2,4,0.5,0
TRN-07CF84199DD2A4B8,A,repair_sft,3,4,0.75,0
TRN-0899755D830DF34C,A,base,2,4,0.5,
TRN-0899755D830DF34C,A,initial_rl,2,4,0.5,0
TRN-0899755D830DF34C,A,repair_sft,3,4,0.75,0
TRN-0931040AC4049D75,A,base,3,4,0.75,
TRN-0931040AC4049D75,A,initial_rl,4,4,1.0,0
TRN-0931040AC4049D75,A,repair_sft,3,4,0.75,0
TRN-0A6311882239466D,A,base,0,4,0.0,
TRN-0A6311882239466D,A,initial_rl,0,4,0.0,0
TRN-0A6311882239466D,A,repair_sft,0,4,0.0,0
TRN-0A7D17C6E6F730B6,A,base,1,4,0.25,
TRN-0A7D17C6E6F730B6,A,initial_rl,3,4,0.75,0
TRN-0A7D17C6E6F730B6,A,repair_sft,3,4,0.75,0
TRN-0AB34BA9C0AB08CC,A,base,1,4,0.25,
TRN-0AB34BA9C0AB08CC,A,initial_rl,4,4,1.0,0
TRN-0AB34BA9C0AB08CC,A,repair_sft,3,4,0.75,0
TRN-0B9062E4BE2A288A,A,base,1,4,0.25,
TRN-0B9062E4BE2A288A,A,initial_rl,0,4,0.0,0
TRN-0B9062E4BE2A288A,A,repair_sft,0,4,0.0,0
TRN-0C5254CC39E94900,A,base,2,4,0.5,
TRN-0C5254CC39E94900,A,initial_rl,3,4,0.75,0
TRN-0C5254CC39E94900,A,repair_sft,3,4,0.75,0
TRN-0CFF5D2A5ACAA7D4,A,base,2,4,0.5,
TRN-0CFF5D2A5ACAA7D4,A,initial_rl,3,4,0.75,0
TRN-0CFF5D2A5ACAA7D4,A,repair_sft,2,4,0.5,0
TRN-0EEAB24362E89292,A,base,1,4,0.25,
TRN-0EEAB24362E89292,A,initial_rl,1,4,0.25,0
TRN-0EEAB24362E89292,A,repair_sft,3,4,0.75,0
TRN-0EF24C39B33FD30D,A,base,2,4,0.5,
TRN-0EF24C39B33FD30D,A,initial_rl,4,4,1.0,0
TRN-0EF24C39B33FD30D,A,repair_sft,4,4,1.0,0
TRN-0F0CC2CE7CB3F821,A,base,2,4,0.5,
TRN-0F0CC2CE7CB3F821,A,initial_rl,2,4,0.5,0
TRN-0F0CC2CE7CB3F821,A,repair_sft,4,4,1.0,0
TRN-0F46C559D7CC748B,A,base,1,4,0.25,
TRN-0F46C559D7CC748B,A,initial_rl,0,4,0.0,0
TRN-0F46C559D7CC748B,A,repair_sft,1,4,0.25,0
TRN-1059D3C309E7582A,A,base,2,4,0.5,
TRN-1059D3C309E7582A,A,initial_rl,2,4,0.5,0
TRN-1059D3C309E7582A,A,repair_sft,2,4,0.5,0
TRN-10A03C174AD64769,A,base,2,4,0.5,
TRN-10A03C174AD64769,A,initial_rl,2,4,0.5,0
TRN-10A03C174AD64769,A,repair_sft,4,4,1.0,0
TRN-11E589CCB05725CB,A,base,1,4,0.25,
TRN-11E589CCB05725CB,A,initial_rl,1,4,0.25,0
TRN-11E589CCB05725CB,A,repair_sft,4,4,1.0,0
TRN-126A63EAD42BB71B,A,base,1,4,0.25,
TRN-126A63EAD42BB71B,A,initial_rl,4,4,1.0,0
TRN-126A63EAD42BB71B,A,repair_sft,3,4,0.75,0
TRN-141C1BB26CC28E75,A,base,2,4,0.5,
TRN-141C1BB26CC28E75,A,initial_rl,4,4,1.0,0
TRN-141C1BB26CC28E75,A,repair_sft,1,4,0.25,0
TRN-145D128153C8CB10,A,base,1,4,0.25,
